Temperature for Cap.30 (°C),Ratio 350 nm / 330 nm for Cap.30 ,Temperature for Cap.30 (°C),350 nm for Cap.30 ,Temperature for Cap.30 (°C),330 nm for Cap.30 ,Temperature for Cap.31 (°C),Ratio 350 nm / 330 nm for Cap.31 ,Temperature for Cap.31 (°C),350 nm for Cap.31 ,Temperature for Cap.31 (°C),330 nm for Cap.31 ,Temperature for Cap.32 (°C),Ratio 350 nm / 330 nm for Cap.32 ,Temperature for Cap.32 (°C),350 nm for Cap.32 ,Temperature for Cap.32 (°C),330 nm for Cap.32 ,Temperature for Cap.34 (°C),Ratio 350 nm / 330 nm for Cap.34 ,Temperature for Cap.34 (°C),350 nm for Cap.34 ,Temperature for Cap.34 (°C),330 nm for Cap.34 ,Temperature for Cap.35 (°C),Ratio 350 nm / 330 nm for Cap.35 ,Temperature for Cap.35 (°C),350 nm for Cap.35 ,Temperature for Cap.35 (°C),330 nm for Cap.35 ,Temperature for Cap.36 (°C),Ratio 350 nm / 330 nm for Cap.36 ,Temperature for Cap.36 (°C),350 nm for Cap.36 ,Temperature for Cap.36 (°C),330 nm for Cap.36 
40.0483,1.0322,40.0483,1530.1449,40.0483,1482.4489,40.0503,0.9941,40.0503,3513.7781,40.0503,3534.5256,40.0523,0.9761,40.0523,6206.8667,40.0523,6358.6592,40.0563,1.1119,40.0563,731.9204,40.0563,658.2589,40.0583,1.0305,40.0583,1311.7286,40.0583,1272.9260,40.0604,1.0007,40.0604,2268.8748,40.0604,2267.3184
40.0885,1.0295,40.0885,1527.2775,40.0885,1483.4526,40.0865,0.9926,40.0865,3506.8296,40.0865,3533.1501,40.0844,0.9757,40.0844,6197.0176,40.0844,6351.0625,40.0803,1.1128,40.0803,731.4695,40.0803,657.3438,40.0782,1.0324,40.0782,1311.4363,40.0782,1270.2747,40.0761,0.9982,40.0761,2260.2271,40.0761,2264.4053
40.2871,1.0282,40.2871,1519.2039,40.2871,1477.6000,40.2891,0.9939,40.2891,3497.8977,40.2891,3519.5347,40.2911,0.9767,40.2911,6182.0889,40.2911,6329.4434,40.2951,1.1113,40.2951,729.2173,40.2951,656.1871,40.2971,1.0359,40.2971,1308.4602,40.2971,1263.1749,40.2991,1.0034,40.2991,2256.5757,40.2991,2248.9922
40.3287,1.0287,40.3287,1519.0677,40.3287,1476.6686,40.3266,0.9947,40.3266,3500.5894,40.3266,3519.4011,40.3246,0.9764,40.3246,6175.6909,40.3246,6325.2466,40.3205,1.1047,40.3205,726.7512,40.3205,657.8546,40.3184,1.0325,40.3184,1308.3651,40.3184,1267.1742,40.3164,1.0010,40.3164,2258.5740,40.3164,2256.2083
40.5266,1.0343,40.5266,1520.2657,40.5266,1469.8246,40.5287,0.9923,40.5287,3489.3057,40.5287,3516.3064,40.5308,0.9757,40.5308,6155.5181,40.5308,6309.0439,40.5350,1.1096,40.5350,725.2947,40.5350,653.6307,40.5370,1.0350,40.5370,1302.8267,40.5370,1258.7153,40.5391,1.0016,40.5391,2247.1575,40.5391,2243.6494
40.5668,1.0303,40.5668,1517.2538,40.5668,1472.6542,40.5647,0.9919,40.5647,3481.4663,40.5647,3509.8611,40.5627,0.9752,40.5627,6139.3711,40.5627,6295.2461,40.5585,1.1104,40.5585,725.6070,40.5585,653.4902,40.5564,1.0317,40.5564,1303.6281,40.5564,1263.5658,40.5543,1.0014,40.5543,2249.0125,40.5543,2245.8171
40.7661,1.0286,40.7661,1512.6136,40.7661,1470.4913,40.7681,0.9918,40.7681,3469.7258,40.7681,3498.4185,40.7701,0.9761,40.7701,6125.8145,40.7701,6275.5596,40.7741,1.1127,40.7741,724.7990,40.7741,651.4163,40.7761,1.0367,40.7761,1299.4961,40.7761,1253.5455,40.7782,1.0082,40.7782,2246.1089,40.7782,2227.7917
40.8066,1.0292,40.8066,1510.1107,40.8066,1467.2488,40.8045,0.9918,40.8045,3462.8477,40.8045,3491.6145,40.8025,0.9735,40.8025,6103.1128,40.8025,6269.1094,40.7984,1.1151,40.7984,726.2921,40.7984,651.3441,40.7963,1.0333,40.7963,1297.5917,40.7963,1255.7358,40.7943,1.0040,40.7943,2241.7080,40.7943,2232.8853
41.0028,1.0304,41.0028,1507.7134,41.0028,1463.2144,41.0048,0.9900,41.0048,3449.5334,41.0048,3484.2437,41.0068,0.9737,41.0068,6088.2837,41.0068,6253.0039,41.0109,1.1164,41.0109,725.4318,41.0109,649.8182,41.0130,1.0344,41.0130,1296.5656,41.0130,1253.4948,41.0150,1.0002,41.0150,2227.7258,41.0150,2227.3027
41.0445,1.0283,41.0445,1504.3051,41.0445,1462.8467,41.0425,0.9903,41.0425,3447.0166,41.0425,3480.9246,41.0404,0.9728,41.0404,6077.6162,41.0404,6247.4038,41.0363,1.1097,41.0363,721.7539,41.0363,650.4251,41.0342,1.0337,41.0342,1293.3206,41.0342,1251.1790,41.0322,0.9993,41.0322,2221.1411,41.0322,2222.7224
41.2424,1.0294,41.2424,1500.2781,41.2424,1457.4982,41.2445,0.9913,41.2445,3438.8328,41.2445,3469.1826,41.2465,0.9742,41.2465,6062.8618,41.2465,6223.3247,41.2506,1.1086,41.2506,719.3840,41.2506,648.9118,41.2526,1.0346,41.2526,1288.7271,41.2526,1245.6146,41.2547,1.0054,41.2547,2224.9890,41.2547,2212.9438
41.2847,1.0318,41.2847,1500.6945,41.2847,1454.4281,41.2826,0.9902,41.2826,3436.2681,41.2826,3470.2205,41.2806,0.9733,41.2806,6052.7993,41.2806,6218.8096,41.2764,1.1153,41.2764,721.6516,41.2764,647.0465,41.2743,1.0346,41.2743,1289.5526,41.2743,1246.4510,41.2723,1.0032,41.2723,2220.2363,41.2723,2213.1169
41.4821,1.0294,41.4821,1495.3505,41.4821,1452.6154,41.4841,0.9906,41.4841,3423.7964,41.4841,3456.1563,41.4862,0.9718,41.4862,6031.2573,41.4862,6206.4727,41.4903,1.1125,41.4903,718.4277,41.4903,645.7658,41.4923,1.0343,41.4923,1283.8838,41.4923,1241.2954,41.4944,1.0002,41.4944,2207.3079,41.4944,2206.9507
41.5208,1.0313,41.5208,1495.3511,41.5208,1450.0211,41.5188,0.9903,41.5188,3419.8467,41.5188,3453.2485,41.5167,0.9727,41.5167,6026.8672,41.5167,6195.8774,41.5125,1.1121,41.5125,719.1514,41.5125,646.6647,41.5105,1.0312,41.5105,1281.9930,41.5105,1243.1698,41.5084,1.0019,41.5084,2207.6968,41.5084,2203.5010
41.7214,1.0284,41.7214,1491.4229,41.7214,1450.2549,41.7234,0.9928,41.7234,3408.5715,41.7234,3433.2922,41.7255,0.9721,41.7255,6004.3735,41.7255,6176.7314,41.7296,1.1128,41.7296,717.4514,41.7296,644.7145,41.7316,1.0356,41.7316,1281.7079,41.7316,1237.5980,41.7336,1.0043,41.7336,2197.1157,41.7336,2187.6316
