Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
81,857.376,37.3,0.0715,0.0707,0.0576,0.064,0.0526,0.0607
82,868.069,37.2,0.0714,0.0743,0.0575,0.0639,0.0564,0.0606
83,878.765,37.3,0.0722,0.0714,0.058,0.0639,0.0526,0.0605
84,889.447,37.3,0.0718,0.0721,0.0578,0.0642,0.0531,0.0605
85,900.14,37.3,0.0716,0.0733,0.058,0.0642,0.0525,0.0606
86,910.852,37.3,0.0735,0.0737,0.0578,0.0639,0.0549,0.0604
87,921.571,37.3,0.0717,0.0741,0.058,0.0643,0.0551,0.0606
88,932.28,37.2,0.0725,0.0746,0.0581,0.064,0.0525,0.0606
89,942.977,37.3,0.0723,0.0758,0.0582,0.0642,0.0526,0.0605
90,953.678,37.3,0.0731,0.0767,0.0582,0.0641,0.0538,0.0605
91,964.392,37.2,0.0729,0.0771,0.0583,0.0644,0.0526,0.0605
92,975.133,37.2,0.0732,0.0777,0.058,0.0641,0.0526,0.0604
93,985.852,37.1,0.0731,0.0789,0.0583,0.0646,0.0524,0.0605
94,996.568,37.2,0.0741,0.0804,0.0581,0.0641,0.0524,0.0607
95,1007.267,37.2,0.0739,0.0812,0.0582,0.0643,0.0526,0.0606
96,1017.982,37,0.0739,0.0823,0.0584,0.0642,0.0525,0.0606
97,1028.719,37.1,0.0739,0.0834,0.0583,0.0642,0.0524,0.0606
98,1039.451,37.2,0.0738,0.0844,0.0585,0.0644,0.0524,0.0604
99,1050.196,37,0.0778,0.0858,0.0586,0.0656,0.0524,0.0606
100,1060.925,37.1,0.0755,0.088,0.0586,0.0645,0.0525,0.0606
101,1071.635,37.2,0.0745,0.089,0.0586,0.0643,0.0526,0.0605
102,1082.381,37,0.0749,0.0904,0.0591,0.0662,0.0526,0.0606
103,1093.091,37.1,0.0746,0.0921,0.059,0.0643,0.0526,0.0604
104,1103.802,37.2,0.0751,0.0944,0.0591,0.0644,0.0526,0.0606
105,1114.526,37,0.0751,0.0958,0.0589,0.0645,0.0526,0.0605
106,1125.245,37.1,0.0749,0.0974,0.0592,0.0701,0.0556,0.0604
107,1135.975,37.2,0.0767,0.0994,0.0591,0.0646,0.0525,0.0605
108,1146.704,37.1,0.0758,0.1008,0.0595,0.0645,0.0523,0.0604
109,1157.423,37.2,0.0749,0.1038,0.0594,0.0646,0.0553,0.0605
110,1168.139,37.2,0.0752,0.1051,0.0591,0.0644,0.0526,0.0605
111,1178.86,37.1,0.0754,0.1068,0.0598,0.067,0.0525,0.0605
112,1189.585,37.2,0.0749,0.111,0.0596,0.0645,0.0525,0.0604
113,1200.303,37.2,0.0751,0.1111,0.06,0.0646,0.0524,0.0605
114,1211.021,37.1,0.075,0.1124,0.06,0.065,0.0525,0.0604
115,1221.738,37.2,0.0759,0.1142,0.0598,0.0645,0.0525,0.0605
116,1232.453,37.2,0.0752,0.1165,0.0598,0.0647,0.0526,0.0606
117,1243.169,37.2,0.0753,0.1179,0.0601,0.0645,0.0526,0.0605
118,1253.868,37.2,0.0757,0.12,0.0602,0.0645,0.0526,0.0607
119,1264.56,37.2,0.0745,0.1211,0.0602,0.0649,0.0528,0.0605
120,1275.257,37.1,0.0756,0.1227,0.06,0.0648,0.0525,0.0606
121,1285.954,37.2,0.0748,0.1249,0.0603,0.0645,0.0526,0.0604
122,1296.684,37.1,0.0751,0.126,0.0606,0.0694,0.0561,0.0604
123,1307.419,37.1,0.0751,0.1273,0.0606,0.0646,0.0525,0.0604
124,1318.137,37.2,0.075,0.1299,0.0608,0.0647,0.0526,0.0605
125,1328.855,37.2,0.0747,0.1304,0.061,0.065,0.0526,0.0606
126,1339.59,37.1,0.0752,0.1322,0.061,0.0648,0.0525,0.0605
127,1350.317,37.1,0.0763,0.1331,0.0612,0.07,0.0526,0.0605
128,1361.038,37.1,0.0756,0.1346,0.0613,0.0649,0.0525,0.0604
